Date,SP500
11/5/2015 16:00,2101.68
11/6/2015 16:00,2098.6
11/9/2015 16:00,2096.56
11/10/2015 16:00,2077.19
11/11/2015 16:00,2083.41
11/12/2015 16:00,2072.29
11/13/2015 16:00,2044.64
11/16/2015 16:00,2022.08
11/17/2015 16:00,2053.67
11/18/2015 16:00,2051.99
11/19/2015 16:00,2083.7
11/20/2015 16:00,2082.82
11/23/2015 16:00,2089.41
11/24/2015 16:00,2084.42
11/25/2015 16:00,2089.3
11/27/2015 16:00,2088.82
11/30/2015 16:00,2090.95
12/1/2015 16:00,2082.93
12/2/2015 16:00,2101.71
12/3/2015 16:00,2080.71
12/4/2015 16:00,2051.24
12/7/2015 16:00,2090.42
12/8/2015 16:00,2073.39
12/9/2015 16:00,2061.17
12/10/2015 16:00,2047.93
12/11/2015 16:00,2047.27
12/14/2015 16:00,2013.37
12/15/2015 16:00,2025.55
12/16/2015 16:00,2046.5
12/17/2015 16:00,2073.76
12/18/2015 16:00,2040.81
12/21/2015 16:00,2010.27
12/22/2015 16:00,2023.15
12/23/2015 16:00,2042.2
12/24/2015 16:00,2063.52
12/28/2015 16:00,2057.77
12/29/2015 16:00,2060.54
12/30/2015 16:00,2077.34
12/31/2015 16:00,2060.59
1/4/2016 16:00,2038.2
1/5/2016 16:00,2013.78
1/6/2016 16:00,2011.71
1/7/2016 16:00,1985.32
1/8/2016 16:00,1945.97
1/11/2016 16:00,1926.12
1/12/2016 16:00,1927.83
1/13/2016 16:00,1940.34
1/14/2016 16:00,1891.68
1/15/2016 16:00,1916.68
1/19/2016 16:00,1888.66
1/20/2016 16:00,1876.18
1/21/2016 16:00,1861.46
1/22/2016 16:00,1877.4
1/25/2016 16:00,1906.28
1/26/2016 16:00,1878.79
1/27/2016 16:00,1902.52
1/28/2016 16:00,1885.22
1/29/2016 16:00,1894
2/1/2016 16:00,1936.94
2/2/2016 16:00,1935.26
2/3/2016 16:00,1907.07
2/4/2016 16:00,1911.67
2/5/2016 16:00,1913.07
2/8/2016 16:00,1873.25
2/9/2016 16:00,1848.46
2/10/2016 16:00,1857.1
2/11/2016 16:00,1847
2/12/2016 16:00,1833.4
2/16/2016 16:00,1871.44
2/17/2016 16:00,1898.8
2/18/2016 16:00,1927.57
2/19/2016 16:00,1916.74
2/22/2016 16:00,1924.44
2/23/2016 16:00,1942.38
2/24/2016 16:00,1917.56
2/25/2016 16:00,1931.87
2/26/2016 16:00,1954.95
2/29/2016 16:00,1947.13
3/1/2016 16:00,1937.09
3/2/2016 16:00,1976.6
3/3/2016 16:00,1985.6
3/4/2016 16:00,1994.01
3/7/2016 16:00,1996.11
3/8/2016 16:00,1996.88
3/9/2016 16:00,1981.44
3/10/2016 16:00,1990.97
3/11/2016 16:00,1994.71
3/14/2016 16:00,2019.27
3/15/2016 16:00,2015.27
3/16/2016 16:00,2014.24
3/17/2016 16:00,2026.9
3/18/2016 16:00,2041.16
3/21/2016 16:00,2047.88
3/22/2016 16:00,2048.64
3/23/2016 16:00,2048.55
3/24/2016 16:00,2032.48
3/28/2016 16:00,2037.89
3/29/2016 16:00,2035.75
3/30/2016 16:00,2058.27
3/31/2016 16:00,2063.77
4/1/2016 16:00,2056.62
4/4/2016 16:00,2073.19
4/5/2016 16:00,2062.5
4/6/2016 16:00,2045.56
4/7/2016 16:00,2063.01
4/8/2016 16:00,2045.54
4/11/2016 16:00,2050.23
4/12/2016 16:00,2043.72
4/13/2016 16:00,2065.92
4/14/2016 16:00,2082.89
4/15/2016 16:00,2083.1
4/18/2016 16:00,2078.83
4/19/2016 16:00,2096.05
4/20/2016 16:00,2101.52
4/21/2016 16:00,2102.09
4/22/2016 16:00,2091.49
4/25/2016 16:00,2089.37
4/26/2016 16:00,2089.84
4/27/2016 16:00,2092.33
4/28/2016 16:00,2090.93
4/29/2016 16:00,2071.82
5/2/2016 16:00,2067.17
5/3/2016 16:00,2077.18
5/4/2016 16:00,2060.3
5/5/2016 16:00,2052.95
5/6/2016 16:00,2047.77
5/9/2016 16:00,2057.55
5/10/2016 16:00,2062.63
5/11/2016 16:00,2083.29
5/12/2016 16:00,2067.17
5/13/2016 16:00,2062.5
5/16/2016 16:00,2046.53
5/17/2016 16:00,2065.04
5/18/2016 16:00,2044.38
5/19/2016 16:00,2044.21
5/20/2016 16:00,2041.88
5/23/2016 16:00,2052.23
5/24/2016 16:00,2052.65
5/25/2016 16:00,2078.93
5/26/2016 16:00,2091.44
5/27/2016 16:00,2090.06
5/31/2016 16:00,2100.13
6/1/2016 16:00,2093.94
6/2/2016 16:00,2097.71
6/3/2016 16:00,2104.07
6/6/2016 16:00,2100.83
6/7/2016 16:00,2110.18
6/8/2016 16:00,2112.71
6/9/2016 16:00,2115.65
6/10/2016 16:00,2109.57
6/13/2016 16:00,2091.75
6/14/2016 16:00,2076.65
6/15/2016 16:00,2077.6
6/16/2016 16:00,2066.36
6/17/2016 16:00,2078.2
6/20/2016 16:00,2075.58
6/21/2016 16:00,2085.19
6/22/2016 16:00,2089.75
6/23/2016 16:00,2092.8
6/24/2016 16:00,2103.81
6/27/2016 16:00,2031.45
6/28/2016 16:00,2006.67
6/29/2016 16:00,2042.69
6/30/2016 16:00,2073.17
7/1/2016 16:00,2099.34
7/5/2016 16:00,2095.05
7/6/2016 16:00,2084.43
7/7/2016 16:00,2100.42
7/8/2016 16:00,2106.97
7/11/2016 16:00,2131.72
7/12/2016 16:00,2139.5
7/13/2016 16:00,2153.81
7/14/2016 16:00,2157.88
7/15/2016 16:00,2165.13
7/18/2016 16:00,2162.04
7/19/2016 16:00,2163.79
7/20/2016 16:00,2166.1
7/21/2016 16:00,2172.91
7/22/2016 16:00,2166.47
7/25/2016 16:00,2173.71
7/26/2016 16:00,2168.97
7/27/2016 16:00,2169.81
7/28/2016 16:00,2166.05
7/29/2016 16:00,2168.83
8/1/2016 16:00,2173.15
8/2/2016 16:00,2169.94
8/3/2016 16:00,2156.81
8/4/2016 16:00,2163.51
8/5/2016 16:00,2168.79
8/8/2016 16:00,2183.76
8/9/2016 16:00,2182.24
8/10/2016 16:00,2182.81
8/11/2016 16:00,2177.97
8/12/2016 16:00,2183.74
8/15/2016 16:00,2186.08
8/16/2016 16:00,2186.24
8/17/2016 16:00,2177.84
8/18/2016 16:00,2181.9
8/19/2016 16:00,2184.24
8/22/2016 16:00,2181.58
8/23/2016 16:00,2187.81
8/24/2016 16:00,2185.09
8/25/2016 16:00,2173.29
8/26/2016 16:00,2175.1
8/29/2016 16:00,2170.19
8/30/2016 16:00,2179.45
8/31/2016 16:00,2173.56
9/1/2016 16:00,2171.33
9/2/2016 16:00,2177.49
9/6/2016 16:00,2181.61
9/7/2016 16:00,2185.17
9/8/2016 16:00,2182.76
9/9/2016 16:00,2169.08
9/12/2016 16:00,2120.86
9/13/2016 16:00,2150.47
9/14/2016 16:00,2127.86
9/15/2016 16:00,2125.36
9/16/2016 16:00,2146.48
9/19/2016 16:00,2143.99
9/20/2016 16:00,2145.94
9/21/2016 16:00,2144.58
9/22/2016 16:00,2170.94
9/23/2016 16:00,2173.29
9/26/2016 16:00,2158.54
9/27/2016 16:00,2146.04
9/28/2016 16:00,2161.85
9/29/2016 16:00,2168.9
9/30/2016 16:00,2156.51
10/3/2016 16:00,2164.33
10/4/2016 16:00,2163.37
10/5/2016 16:00,2155.15
10/6/2016 16:00,2158.22
10/7/2016 16:00,2164.19
10/10/2016 16:00,2160.39
10/11/2016 16:00,2161.35
10/12/2016 16:00,2137.67
10/13/2016 16:00,2130.26
10/14/2016 16:00,2139.68
10/17/2016 16:00,2132.95
10/18/2016 16:00,2138.31
10/19/2016 16:00,2140.81
10/20/2016 16:00,2142.51
10/21/2016 16:00,2139.43
10/24/2016 16:00,2148.5
10/25/2016 16:00,2149.72
10/26/2016 16:00,2136.97
10/27/2016 16:00,2144.06
10/28/2016 16:00,2132.23
10/31/2016 16:00,2129.78
11/1/2016 16:00,2128.68
11/2/2016 16:00,2109.43
11/3/2016 16:00,2098.8
11/4/2016 16:00,2083.79
11/7/2016 16:00,2100.59
11/8/2016 16:00,2129.92
11/9/2016 16:00,2131.56
11/10/2016 16:00,2167.49
11/11/2016 16:00,2162.71
11/14/2016 16:00,2165.64
11/15/2016 16:00,2168.29
11/16/2016 16:00,2177.53
11/17/2016 16:00,2178.61
11/18/2016 16:00,2186.85
11/21/2016 16:00,2186.43
11/22/2016 16:00,2201.56
11/23/2016 16:00,2198.55
11/25/2016 16:00,2206.27
11/28/2016 16:00,2210.21
11/29/2016 16:00,2200.76
11/30/2016 16:00,2204.97
12/1/2016 16:00,2200.17
12/2/2016 16:00,2191.12
12/5/2016 16:00,2200.65
12/6/2016 16:00,2207.26
12/7/2016 16:00,2210.72
12/8/2016 16:00,2241.13
12/9/2016 16:00,2249.73
12/12/2016 16:00,2258.83
12/13/2016 16:00,2263.32
12/14/2016 16:00,2268.35
12/15/2016 16:00,2253.77
12/16/2016 16:00,2266.81
12/19/2016 16:00,2259.24
12/20/2016 16:00,2266.5
12/21/2016 16:00,2270.54
12/22/2016 16:00,2262.93
12/23/2016 16:00,2260.25
12/27/2016 16:00,2266.23
12/28/2016 16:00,2270.23
12/29/2016 16:00,2249.5
12/30/2016 16:00,2251.61
1/3/2017 16:00,2251.57
1/4/2017 16:00,2261.6
1/5/2017 16:00,2268.18
1/6/2017 16:00,2271.14
1/9/2017 16:00,2273.59
1/10/2017 16:00,2269.72
1/11/2017 16:00,2268.6
1/12/2017 16:00,2271.14
1/13/2017 16:00,2272.74
1/17/2017 16:00,2269.14
1/18/2017 16:00,2269.14
1/19/2017 16:00,2271.9
1/20/2017 16:00,2269.96
1/23/2017 16:00,2267.78
1/24/2017 16:00,2267.88
1/25/2017 16:00,2288.88
1/26/2017 16:00,2298.63
1/27/2017 16:00,2299.02
1/30/2017 16:00,2286.01
1/31/2017 16:00,2274.02
2/1/2017 16:00,2285.59
2/2/2017 16:00,2276.69
2/3/2017 16:00,2288.54
2/6/2017 16:00,2294.28
2/7/2017 16:00,2295.87
2/8/2017 16:00,2289.55
2/9/2017 16:00,2296.7
2/10/2017 16:00,2312.27
2/13/2017 16:00,2321.72
2/14/2017 16:00,2326.12
2/15/2017 16:00,2335.58
2/16/2017 16:00,2349.64
2/17/2017 16:00,2343.01
2/21/2017 16:00,2354.91
2/22/2017 16:00,2361.11
2/23/2017 16:00,2367.5
2/24/2017 16:00,2355.73
2/27/2017 16:00,2365.23
2/28/2017 16:00,2366.08
3/1/2017 16:00,2380.13
3/2/2017 16:00,2394.75
3/3/2017 16:00,2380.92
3/6/2017 16:00,2375.23
3/7/2017 16:00,2370.74
3/8/2017 16:00,2369.81
3/9/2017 16:00,2363.49
3/10/2017 16:00,2372.52
3/13/2017 16:00,2371.56
3/14/2017 16:00,2368.55
3/15/2017 16:00,2370.34
3/16/2017 16:00,2387.71
